"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
242,23,0,0,1,1,0,0,0,2,3,1,4,3,17,4,6,2,2,1,3,12,8,18,5,1,6,1,2,1,5,1,1,2,18,2,2,1,2,1,1,1,16,1,1,2,2,1,1,3,2,1,2,15,1,2,1,1,18,4,6,1,14,3,7,6,1,4,3,1,1,8,3,1,4,1,4,2,5,3,3,2,1,5,1,8,4,1,3,4,1,5,14,18,4,8,4,2,3,15,2,15,6,3,16,7,13,7,1,1
255,23,0,0,1,1,1,0,0,2,4,2,7,7,2,1,3,18,7,1,20,1,4,26,3,8,4,14,1,2,4,1,1,1,18,3,1,12,1,6,7,1,6,6,2,1,1,1,4,2,9,3,1,2,1,8,4,9,6,1,3,16,11,1,3,1,1,12,6,9,1,1,2,4,1,21,1,1,5,2,2,1,4,14,7,1,6,2,1,8,1,2,3,8,25,3,1,15,3,2,1,7,1,6,1,2,3,3,7,1
267,23,0,0,1,1,1,0,0,2,6,2,6,2,1,1,1,1,2,3,2,17,4,1,12,10,15,2,1,1,4,3,1,3,1,2,1,1,9,4,5,6,1,11,7,5,6,1,8,1,8,15,10,1,6,1,2,4,10,4,7,1,1,1,14,14,2,6,5,1,1,2,7,25,9,2,4,15,14,3,1,1,1,12,1,17,4,6,26,6,4,6,1,1,1,1,8,1,1,1,1,1,3,11,4,1,1,4,1,1
275,23,0,0,1,1,0,0,0,2,1,5,1,1,28,9,2,1,3,12,27,10,2,2,8,6,15,4,27,5,1,4,3,1,17,4,2,1,2,1,3,1,2,2,22,1,1,6,3,3,3,22,2,3,8,5,2,10,1,3,10,1,4,1,5,2,2,1,12,1,4,10,5,13,1,18,1,1,1,22,13,2,3,2,16,14,2,3,6,10,8,16,11,1,6,1,1,19,20,2,1,4,1,8,2,2,11,3,2,28
335,23,0,0,1,1,0,0,0,2,2,1,1,1,2,4,1,2,1,8,2,2,10,3,3,19,1,1,4,3,11,7,5,1,3,1,2,3,1,4,1,5,1,10,9,8,5,6,26,4,3,24,2,1,5,1,4,9,1,1,14,4,3,3,1,1,6,1,7,21,2,2,8,11,1,5,12,1,10,3,23,1,3,15,3,4,6,1,1,4,1,4,14,5,3,18,1,3,7,7,6,1,1,3,6,1,6,1,2,3
392,23,0,0,1,1,0,0,0,2,31,3,1,21,1,6,7,22,1,1,3,1,8,2,1,22,7,2,3,1,2,7,6,5,1,13,12,1,3,1,1,1,12,9,3,7,1,1,5,10,1,13,5,1,1,1,2,14,3,7,4,12,1,1,8,1,7,1,1,6,7,2,2,19,17,2,3,1,4,13,12,5,3,2,1,1,1,6,11,7,7,1,2,4,1,2,19,1,3,1,10,3,5,1,3,5,3,5,4,1
397,23,0,0,1,1,0,0,0,2,3,10,6,1,1,11,1,1,4,8,22,2,3,1,1,1,13,4,7,3,5,1,19,1,3,1,4,20,2,7,3,1,4,2,16,1,22,12,11,1,1,8,1,4,8,29,3,8,3,1,1,1,1,1,12,6,9,1,3,7,8,3,8,5,1,21,1,24,9,1,6,2,1,1,11,4,4,1,1,6,7,1,8,2,1,4,17,6,1,4,9,10,17,1,8,1,6,2,1,7
405,23,0,0,1,1,0,0,0,2,2,1,4,4,1,16,1,1,1,3,1,1,1,6,18,19,2,6,1,14,3,2,1,1,1,5,1,2,8,1,13,2,7,1,2,1,7,22,9,1,2,3,1,1,8,17,2,4,2,12,11,2,6,2,2,12,2,1,5,9,2,7,2,4,1,6,6,3,4,3,1,1,1,2,3,3,2,2,1,6,3,4,1,1,5,1,1,8,8,4,5,1,4,1,27,1,28,8,7,1
422,23,0,0,1,1,1,0,0,2,1,1,6,1,2,17,6,19,2,11,1,7,1,2,2,18,5,17,1,9,1,5,1,9,16,1,5,3,4,8,2,2,21,7,3,1,26,1,2,3,10,2,1,1,10,2,2,5,3,12,10,22,10,4,2,1,2,2,1,6,6,1,6,2,15,11,3,1,6,4,6,1,14,1,17,7,1,1,11,1,3,4,7,3,3,2,7,2,4,6,2,8,8,2,15,27,1,1,5,10
445,23,0,0,1,1,1,0,0,2,8,25,7,13,4,3,1,1,4,9,6,4,4,11,3,1,3,1,2,8,2,22,3,2,11,12,1,11,6,1,1,5,1,5,1,11,1,1,4,11,26,1,11,14,5,13,1,1,8,3,10,3,18,3,2,1,5,1,3,2,1,1,2,2,1,2,3,1,2,11,4,2,1,7,1,1,1,4,7,6,1,1,2,2,1,2,5,9,1,1,6,3,1,3,3,4,7,2,2,1
